gene,drug,interaction
0,0,1
1,1,1
3,3,1
4,4,1
5,5,1
8,8,1
9,9,1
10,10,1
11,11,1
5,12,1
12,13,1
13,14,1
14,15,1
15,16,1
16,17,1
18,19,1
19,20,1
20,21,1
22,23,1
25,3,1
26,26,1
27,27,1
16,28,1
28,29,1
29,30,1
30,31,1
31,3,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
39,39,1
40,40,1
42,42,1
43,43,1
44,44,1
45,45,1
46,46,1
48,48,1
49,49,1
52,52,1
53,53,1
39,54,1
54,55,1
55,56,1
56,57,1
34,58,1
57,59,1
59,61,1
60,62,1
61,63,1
62,64,1
64,66,1
65,67,1
51,68,1
52,70,1
67,71,1
27,72,1
68,73,1
69,74,1
70,75,1
39,76,1
12,77,1
67,63,1
71,78,1
73,80,1
74,81,1
75,82,1
76,73,1
77,84,1
78,85,1
61,86,1
11,87,1
79,80,1
80,88,1
81,89,1
82,27,1
83,90,1
85,92,1
86,93,1
87,94,1
88,95,1
89,96,1
90,97,1
91,98,1
92,99,1
93,100,1
16,101,1
94,102,1
96,103,1
97,104,1
27,108,1
101,109,1
11,110,1
82,84,1
102,111,1
103,112,1
81,113,1
104,114,1
105,115,1
106,116,1
38,117,1
61,118,1
17,119,1
107,120,1
73,121,1
108,59,1
109,122,1
110,123,1
13,124,1
111,125,1
113,126,1
116,129,1
15,132,1
118,59,1
119,133,1
121,135,1
122,136,1
123,137,1
124,138,1
125,139,1
124,141,1
45,142,1
61,144,1
127,145,1
128,79,1
131,148,1
133,149,1
93,150,1
134,85,1
63,151,1
78,152,1
53,153,1
7,154,1
135,154,1
136,153,1
137,156,1
137,157,1
18,157,1
138,158,1
85,143,1
139,159,1
37,160,1
141,162,1
142,162,1
143,162,1
59,164,1
59,165,1
130,164,1
73,61,1
27,167,1
146,80,1
147,80,1
16,168,1
62,80,1
42,169,1
139,173,1
149,173,1
150,173,1
151,173,1
13,173,1
152,174,1
153,174,1
77,174,1
154,174,1
154,175,1
156,175,1
104,176,1
101,176,1
92,177,1
104,177,1
152,178,1
67,114,1
92,114,1
32,119,1
154,179,1
13,180,1
158,181,1
159,182,1
160,183,1
161,184,1
163,184,1
164,185,1
165,185,1
167,186,1
168,186,1
170,186,1
50,187,1
171,82,1
172,82,1
173,82,1
174,82,1
175,188,1
176,188,1
178,189,1
179,190,1
180,191,1
181,190,1
182,192,1
67,193,1
44,194,1
44,120,1
183,194,1
75,195,1
184,195,1
185,196,1
187,197,1
188,198,1
189,199,1
190,200,1
191,201,1
4,203,1
81,204,1
193,205,1
194,90,1
53,208,1
155,97,1
101,97,1
198,97,1
104,97,1
199,209,1
176,210,1
69,211,1
200,212,1
201,213,1
191,215,1
202,216,1
81,217,1
114,214,1
203,218,1
117,219,1
52,220,1
204,221,1
206,221,1
207,223,1
208,224,1
77,218,1
193,218,1
155,218,1
104,218,1
209,225,1
211,227,1
99,228,1
212,229,1
132,88,1
55,88,1
78,88,1
134,77,1
213,77,1
93,230,1
214,231,1
68,230,1
134,230,1
132,77,1
63,230,1
132,230,1
55,77,1
80,77,1
215,232,1
217,234,1
16,235,1
218,236,1
65,236,1
73,236,1
219,237,1
149,49,1
221,49,1
120,238,1
222,49,1
223,49,1
224,238,1
225,239,1
226,240,1
227,241,1
74,242,1
228,242,1
114,243,1
229,244,1
137,245,1
17,245,1
160,246,1
32,245,1
230,100,1
139,247,1
98,247,1
161,250,1
39,251,1
233,252,1
234,253,1
235,254,1
61,254,1
79,255,1
236,256,1
232,257,1
132,95,1
93,95,1
129,258,1
238,259,1
239,260,1
240,261,1
241,262,1
16,263,1
242,264,1
243,265,1
244,266,1
246,269,1
247,270,1
249,272,1
35,273,1
251,275,1
213,276,1
134,276,1
252,277,1
253,112,1
63,278,1
88,279,1
254,280,1
134,281,1
255,282,1
68,13,1
172,283,1
256,284,1
257,285,1
82,286,1
20,288,1
62,21,1
259,289,1
51,64,1
82,290,1
85,291,1
260,292,1
261,293,1
262,294,1
33,295,1
263,296,1
123,297,1
123,298,1
123,299,1
123,300,1
264,301,1
74,302,1
265,304,1
24,302,1
136,305,1
117,306,1
114,307,1
114,306,1
266,308,1
81,309,1
267,310,1
268,311,1
267,312,1
81,313,1
11,315,1
11,316,1
270,317,1
105,318,1
105,321,1
259,322,1
272,323,1
18,325,1
17,327,1
237,328,1
140,330,1
274,331,1
275,332,1
276,333,1
277,334,1
278,335,1
279,64,1
145,68,1
130,68,1
73,68,1
130,293,1
73,337,1
73,106,1
27,337,1
146,64,1
218,337,1
145,64,1
261,337,1
59,337,1
20,64,1
59,64,1
51,286,1
261,339,1
281,340,1
282,340,1
283,341,1
284,342,1
285,343,1
101,63,1
152,345,1
153,345,1
153,346,1
104,347,1
77,347,1
156,347,1
156,348,1
101,349,1
77,349,1
286,64,1
289,350,1
85,351,1
290,352,1
291,351,1
292,353,1
230,354,1
102,355,1
293,356,1
291,357,1
294,359,1
295,360,1
199,361,1
295,361,1
291,362,1
296,363,1
50,364,1
177,365,1
298,170,1
95,170,1
299,170,1
37,366,1
272,367,1
33,368,1
85,369,1
302,370,1
303,26,1
148,26,1
304,371,1
96,371,1
300,371,1
305,371,1
306,371,1
216,372,1
307,373,1
308,372,1
309,373,1
310,373,1
311,283,1
185,375,1
307,376,1
312,377,1
120,378,1
119,379,1
140,380,1
313,381,1
117,382,1
314,383,1
315,384,1
316,385,1
208,386,1
317,387,1
318,388,1
319,388,1
255,7,1
214,389,1
130,390,1
320,391,1
310,392,1
8,393,1
321,394,1
323,396,1
324,395,1
325,395,1
110,398,1
82,288,1
130,288,1
328,400,1
329,401,1
330,402,1
331,402,1
332,403,1
333,404,1
335,406,1
216,407,1
289,408,1
336,409,1
337,410,1
339,412,1
340,413,1
15,414,1
17,415,1
313,416,1
341,417,1
342,418,1
84,419,1
32,18,1
123,416,1
344,422,1
89,423,1
345,425,1
346,426,1
217,427,1
347,428,1
349,430,1
350,431,1
351,433,1
353,434,1
354,435,1
355,437,1
139,438,1
356,439,1
357,440,1
358,441,1
139,441,1
10,442,1
359,443,1
134,278,1
78,278,1
55,278,1
55,444,1
132,278,1
360,445,1
361,447,1
362,448,1
363,448,1
364,448,1
366,448,1
367,448,1
262,449,1
368,450,1
369,451,1
370,452,1
371,453,1
373,3,1
375,3,1
376,3,1
216,455,1
377,456,1
183,457,1
378,456,1
379,458,1
380,459,1
313,460,1
12,279,1
213,279,1
382,463,1
133,464,1
80,465,1
134,465,1
132,465,1
383,466,1
384,466,1
145,21,1
387,468,1
56,469,1
34,471,1
389,162,1
348,472,1
216,473,1
361,476,1
246,477,1
228,477,1
187,478,1
393,479,1
101,84,1
395,480,1
397,482,1
399,280,1
400,484,1
27,51,1
63,486,1
79,153,1
402,173,1
145,487,1
78,488,1
290,489,1
403,162,1
158,490,1
107,491,1
69,192,1
81,492,1
20,493,1
404,494,1
37,495,1
170,496,1
39,497,1
314,498,1
405,499,1
311,500,1
94,194,1
406,501,1
310,505,1
261,165,1
254,506,1
407,162,1
408,97,1
16,507,1
68,149,1
409,508,1
410,190,1
411,509,1
345,510,1
246,238,1
63,511,1
247,512,1
183,44,1
145,80,1
146,106,1
412,185,1
413,513,1
176,514,1
414,506,1
415,515,1
117,516,1
384,517,1
39,518,1
416,519,1
417,520,1
235,521,1
77,193,1
418,173,1
77,177,1
156,176,1
119,187,1
177,491,1
88,152,1
419,522,1
132,75,1
320,523,1
358,159,1
420,524,1
81,525,1
152,84,1
404,526,1
79,487,1
44,187,1
421,527,1
69,181,1
422,529,1
216,149,1
52,530,1
52,532,1
424,533,1
316,534,1
22,537,1
117,538,1
117,504,1
267,539,1
11,540,1
11,541,1
89,542,1
66,526,1
5,543,1
428,496,1
429,496,1
259,544,1
168,496,1
430,517,1
88,85,1
76,151,1
76,152,1
12,151,1
213,151,1
54,154,1
7,155,1
138,545,1
157,545,1
18,546,1
323,547,1
257,547,1
257,548,1
232,549,1
432,549,1
432,550,1
232,551,1
32,157,1
137,158,1
38,552,1
433,554,1
98,71,1
434,555,1
398,483,1
435,162,1
437,556,1
261,487,1
147,487,1
73,487,1
65,487,1
62,487,1
218,165,1
218,487,1
82,165,1
65,166,1
79,51,1
218,51,1
42,51,1
130,493,1
146,493,1
51,493,1
59,493,1
65,153,1
20,153,1
218,67,1
147,167,1
59,167,1
73,167,1
146,167,1
261,167,1
42,167,1
62,106,1
146,557,1
51,557,1
65,557,1
261,557,1
146,108,1
79,169,1
62,169,1
59,169,1
439,519,1
284,559,1
440,520,1
100,520,1
417,107,1
152,560,1
154,561,1
77,71,1
77,561,1
153,560,1
67,178,1
67,562,1
67,563,1
156,564,1
152,565,1
67,564,1
92,566,1
155,563,1
101,563,1
154,563,1
104,567,1
153,567,1
153,114,1
101,114,1
287,169,1
441,568,1
235,570,1
71,181,1
404,184,1
36,71,1
397,184,1
442,71,1
445,184,1
365,185,1
446,184,1
447,185,1
448,185,1
37,573,1
450,62,1
11,574,1
172,575,1
199,473,1
352,576,1
451,577,1
107,44,1
452,103,1
154,193,1
85,578,1
453,579,1
319,580,1
22,581,1
45,582,1
185,583,1
454,585,1
455,586,1
119,528,1
457,588,1
458,195,1
459,195,1
85,116,1
307,589,1
313,590,1
460,591,1
444,592,1
192,593,1
444,594,1
81,595,1
189,596,1
461,597,1
462,598,1
256,599,1
461,600,1
4,601,1
463,97,1
53,602,1
464,97,1
23,603,1
205,603,1
465,604,1
84,605,1
307,606,1
467,608,1
93,88,1
88,88,1
468,609,1
469,610,1
127,611,1
470,612,1
471,613,1
472,614,1
473,615,1
113,616,1
21,616,1
474,617,1
145,42,1
86,619,1
250,620,1
478,621,1
479,105,1
480,622,1
481,624,1
482,625,1
252,626,1
483,627,1
484,628,1
485,629,1
486,630,1
487,630,1
332,631,1
488,632,1
307,633,1
350,630,1
489,630,1
491,242,1
492,242,1
257,635,1
123,636,1
399,506,1
262,638,1
48,639,1
239,640,1
493,641,1
146,72,1
352,125,1
494,642,1
495,643,1
67,84,1
154,84,1
73,84,1
147,84,1
20,84,1
130,84,1
76,645,1
496,646,1
497,645,1
88,100,1
133,100,1
358,647,1
498,648,1
499,649,1
16,251,1
500,650,1
78,511,1
431,511,1
76,503,1
78,503,1
93,503,1
70,503,1
145,255,1
199,651,1
61,652,1
63,95,1
78,75,1
431,75,1
76,75,1
133,75,1
68,75,1
12,488,1
441,653,1
70,488,1
76,488,1
24,655,1
205,656,1
501,523,1
502,657,1
503,658,1
504,659,1
240,660,1
505,661,1
506,662,1
52,70,1
187,492,1
498,664,1
508,665,1
509,667,1
290,272,1
510,59,1
194,59,1
223,59,1
513,671,1
514,672,1
63,276,1
12,276,1
515,673,1
101,99,1
218,84,1
323,675,1
39,676,1
516,674,1
268,116,1
517,634,1
146,487,1
201,538,1
315,677,1
73,42,1
200,678,1
257,679,1
211,680,1
76,100,1
51,487,1
101,561,1
154,178,1
519,630,1
520,682,1
521,116,1
218,42,1
522,683,1
117,684,1
116,686,1
120,688,1
283,690,1
79,108,1
39,692,1
83,693,1
194,173,1
525,694,1
355,695,1
116,696,1
61,697,1
526,559,1
527,698,1
82,169,1
14,699,1
316,700,1
39,507,1
101,566,1
528,701,1
530,703,1
433,704,1
76,88,1
502,705,1
531,706,1
532,707,1
153,178,1
134,488,1
533,708,1
205,709,1
535,711,1
23,712,1
125,713,1
126,565,1
409,714,1
426,715,1
536,716,1
454,717,1
61,718,1
61,719,1
61,720,1
61,718,1
61,721,1
28,723,1
134,149,1
80,149,1
431,149,1
63,149,1
134,150,1
63,150,1
213,150,1
55,85,1
133,85,1
93,151,1
80,152,1
136,154,1
255,154,1
193,155,1
237,549,1
17,157,1
157,157,1
138,157,1
537,520,1
37,724,1
37,725,1
538,726,1
539,162,1
540,162,1
541,162,1
542,162,1
543,162,1
544,162,1
545,162,1
546,162,1
144,727,1
79,164,1
42,165,1
62,166,1
20,67,1
51,67,1
59,67,1
218,61,1
65,61,1
20,167,1
130,80,1
27,80,1
65,80,1
39,728,1
547,169,1
328,729,1
548,173,1
92,174,1
104,561,1
104,71,1
77,99,1
152,99,1
104,99,1
154,176,1
67,176,1
77,176,1
152,175,1
67,175,1
155,175,1
155,178,1
156,179,1
155,179,1
104,179,1
201,730,1
118,180,1
85,181,1
345,181,1
549,731,1
428,186,1
167,187,1
186,82,1
551,82,1
458,82,1
169,733,1
552,707,1
553,707,1
553,500,1
167,44,1
50,491,1
554,734,1
555,735,1
176,192,1
556,736,1
155,193,1
167,120,1
558,738,1
316,739,1
14,200,1
560,741,1
561,742,1
562,743,1
7,205,1
40,744,1
153,90,1
135,208,1
563,745,1
53,746,1
154,97,1
564,97,1
565,97,1
567,97,1
568,97,1
569,97,1
92,97,1
570,97,1
571,97,1
572,97,1
573,97,1
574,747,1
318,747,1
575,747,1
71,490,1
85,490,1
291,505,1
345,490,1
310,211,1
253,514,1
253,210,1
6,211,1
24,213,1
138,214,1
266,749,1
81,750,1
438,751,1
53,218,1
576,752,1
577,221,1
131,755,1
63,88,1
133,88,1
333,756,1
213,230,1
63,77,1
55,230,1
93,77,1
579,612,1
581,758,1
340,759,1
527,760,1
582,761,1
583,762,1
115,763,1
491,127,1
59,236,1
402,49,1
194,49,1
418,49,1
74,238,1
584,238,1
212,238,1
581,765,1
585,630,1
586,242,1
120,242,1
587,242,1
588,488,1
290,766,1
127,767,1
82,72,1
194,647,1
590,770,1
237,249,1
323,771,1
103,772,1
397,494,1
66,250,1
84,773,1
591,774,1
140,775,1
356,776,1
592,777,1
593,778,1
594,779,1
595,780,1
596,781,1
597,782,1
176,783,1
187,784,1
598,785,1
307,786,1
582,788,1
475,789,1
600,790,1
601,791,1
602,271,1
603,792,1
396,793,1
199,794,1
187,795,1
604,796,1
605,273,1
120,797,1
13,59,1
358,59,1
606,798,1
293,111,1
607,799,1
341,800,1
608,277,1
421,112,1
340,705,1
84,802,1
438,803,1
155,177,1
140,565,1
312,805,1
610,265,1
126,807,1
147,166,1
529,808,1
611,190,1
79,106,1
160,809,1
612,185,1
291,211,1
424,810,1
613,811,1
614,603,1
499,812,1
104,174,1
16,497,1
615,520,1
616,277,1
167,528,1
369,816,1
56,817,1
617,818,1
618,819,1
61,820,1
620,527,1
621,822,1
154,99,1
147,169,1
156,71,1
622,823,1
144,824,1
145,164,1
623,186,1
484,162,1
104,193,1
624,825,1
88,150,1
176,826,1
135,205,1
625,97,1
548,49,1
78,149,1
73,108,1
626,269,1
218,166,1
78,230,1
626,242,1
213,95,1
627,828,1
358,90,1
65,165,1
261,67,1
2,97,1
629,830,1
